# Forward difference method
# x, true, h=1e-1, h=1e-7, h=1e-15
0.2 5.0 4.054651081081643 4.999998750587764 4.884981308350689
0.20202020202020204 4.949999999999999 4.021262068426497 4.949998773096098 4.884981308350689
0.20404040404040405 4.900990099009901 3.98842567347671 4.900988899159131 4.884981308350689
0.20606060606060608 4.852941176470588 3.956128116651527 4.852939998745143 4.884981308350689
0.2080808080808081 4.805825242718447 3.924356078178304 4.805824087572574 4.6629367034256575
0.21010101010101012 4.759615384615384 3.8930966788587917 4.759614251614863 4.884981308350689
0.21212121212121213 4.714285714285714 3.8623374618027695 4.714284604911967 4.884981308350689
0.21414141414141416 4.669811320754716 3.8320663750722184 4.669810231838767 4.6629367034256575
0.21616161616161617 4.626168224299065 3.8022717551830176 4.626167153798377 4.6629367034256575
0.2181818181818182 4.583333333333333 3.772942311414682 4.583332284813224 4.6629367034256575
0.2202020202020202 4.541284403669724 3.744067110881917 4.541283373793448 4.6629367034256575
0.22222222222222224 4.5 3.7156355643248307 4.499998986773335 4.440892098500626
0.22424242424242424 4.45945945945946 3.6876374125773626 4.459458464722843 4.440892098500626
0.22626262626262628 4.419642857142857 3.6600627136761665 4.4196418813591265 4.440892098500626
0.2282828282828283 4.380530973451327 3.6329018305745153 4.380530014280737 4.440892098500626
0.23030303030303031 4.342105263157895 3.606145419428126 4.342104320542717 4.440892098500626
0.23232323232323232 4.304347826086957 3.5797844184217675 4.304346901129463 4.440892098500626
0.23434343434343435 4.267241379310344 3.55381003710753 4.267240467648037 4.218847493575595
0.2363636363636364 4.23076923076923 3.5282137462274243 4.2307683356668235 4.218847493575595
0.2383838383838384 4.194915254237288 3.5029872679945617 4.194914373645275 3.996802888650563
0.2404040404040404 4.159663865546219 3.47812256680887 4.159663000713465 4.218847493575595
0.24242424242424243 4.125 3.4536118403845895 4.124999148924502 3.996802888650563
0.24444444444444446 4.090909090909091 3.4294475112683043 4.090908254372749 4.218847493575595
0.24646464646464647 4.057377049180328 3.40562221872738 4.0573762261075785 3.996802888650563
0.2484848484848485 4.024390243902439 3.3821288109899705 4.024389435031139 3.996802888650563
0.2505050505050505 3.9919354838709675 3.3589603378187705 3.991934687253007 3.996802888650563
0.25252525252525254 3.96 3.3361100434018076 3.9599992152083985 3.774758283725532
0.2545454545454546 3.928571428571428 3.313571359544425 3.9285706554537114 3.774758283725532
0.25656565656565655 3.8976377952755907 3.2913378991476017 3.8976370353438483 3.996802888650563
0.2585858585858586 3.8671875 3.2694034499585323 3.867186753048202 3.996802888650563
0.2606060606060606 3.837209302325581 3.247761968580216 3.8372085664484246 3.774758283725532
0.26262626262626265 3.8076923076923075 3.2264075747275123 3.807691584256645 3.996802888650563
0.2646464646464647 3.7786259541984726 3.2053345457178395 3.778625241590561 3.774758283725532
0.26666666666666666 3.75 3.184537311185347 3.749999297752993 3.774758283725532
0.2686868686868687 3.7218045112781954 3.1640104480079256 3.7218038184683166 3.774758283725532
0.27070707070707073 3.6940298507462686 3.1437486754371378 3.6940291692211247 3.774758283725532
0.2727272727272727 3.666666666666667 3.1237468504215236 3.6666659930517653 3.5527136788005005
0.27474747474747474 3.639705882352941 3.1039999631143775 3.6397052216585735 3.774758283725532
0.2767676767676768 3.613138686131387 3.0845031325574532 3.6131380332093954 3.774758283725532
0.2787878787878788 3.5869565217391304 3.065251602532606 3.5869558767664955 3.5527136788005005
0.28080808080808084 3.5611510791366903 3.0462407375737355 3.5611504434207575 3.5527136788005005
0.2828282828282829 3.535714285714285 3.027466019131766 3.5357136596303462 3.5527136788005005
0.28484848484848485 3.5106382978723403 3.0089230418858746 3.510637682779816 3.5527136788005005
0.2868686868686869 3.4859154929577465 2.9906075101943994 3.485914885636987 3.330669073875469
0.2888888888888889 3.4615384615384612 2.972515234679317 3.4615378630142857 3.330669073875469
0.2909090909090909 3.4375 2.9546421289383593 3.437499409564282 3.5527136788005005
0.29292929292929293 3.413793103448276 2.936984206379265 3.4137925197796903 3.330669073875469
0.29494949494949496 3.3904109589041096 2.9195375771708387 3.390410383552478 3.330669073875469
0.296969696969697 3.3673469387755097 2.902298445305794 3.3673463706307416 3.330669073875469
0.29898989898989903 3.3445945945945943 2.8852631057706146 3.3445940350596004 3.330669073875469
0.301010101010101 3.3221476510067114 2.8684279418178593 3.322147097417627 3.330669073875469
0.30303030303030304 3.3 2.8517894223366245 3.299999455919078 3.330669073875469
0.30505050505050507 3.278145695364238 2.8353440993169974 3.278145159768542 3.330669073875469
0.30707070707070705 3.2565789473684212 2.819088605404614 3.2565784180427215 3.330669073875469
0.3090909090909091 3.235294117647059 2.803019651541583 3.2352935930290982 3.108624468950438
0.3111111111111111 3.2142857142857144 2.7871340246902054 3.2142851980054843 3.330669073875469
0.31313131313131315 3.193548387096774 2.7714285856360963 3.193547877256009 3.108624468950438
0.3151515151515152 3.173076923076923 2.7559002668675223 3.1730764193937944 3.108624468950438
0.3171717171717172 3.152866242038216 2.740546070527794 3.152865746258726 3.108624468950438
0.3191919191919192 3.132911392405063 2.725363066437861 3.1329109018152224 3.108624468950438
0.3212121212121212 3.1132075471698113 2.7103483901862466 3.113207063254464 3.108624468950438
0.32323232323232326 3.0937499999999996 2.695499241283655 3.0937495210103805 3.108624468950438
0.32525252525252524 3.0745341614906834 2.6808128813797305 3.0745336898618802 3.108624468950438
0.32727272727272727 3.0555555555555554 2.666286632539485 3.055555088948836 3.108624468950438
0.3292929292929293 3.03680981595092 2.651917875577091 3.0368093550947606 3.108624468950438
